Count,Category,Hour
80,Sex Offense,5
117,DUI,15
3,Pornography,2
9567,Car Prowl,19
204,Sex Offense,19
1537,Car Prowl,5
9,Pornography,9
43,Arson,18
18,Disorderly Conduct,20
446,Aggravated Assault,8
185,Prostitution,18
45,Arson,20
2,Loitering,5
7,Homicide,13
58,Rape,15
588,Motor Vehicle Theft,3
1,Loitering,19
1864,DUI,2
38,Rape,14
4,Loitering,16
533,DUI,3
19,Disorderly Conduct,22
98,Rape,3
385,Aggravated Assault,4
551,Robbery,12
5812,Car Prowl,16
7,Homicide,7
106,Rape,2
99,DUI,14
246,Sex Offense,16
328,Family Offense,18
223,Weapon,15
15,Disorderly Conduct,23
1819,Burglary,3
4,Homicide,11
4,Homicide,9
6,Disorderly Conduct,2
1732,Burglary,2
1,Gamble,15
2801,Burglary,14
35,Arson,19
9572,Theft,12
15,Disorderly Conduct,19
8,Pornography,17
3,Homicide,6
47,Arson,21
1510,Motor Vehicle Theft,15
234,Weapon,2
527,Trespass,22
687,Aggravated Assault,13
62,Arson,23
108,Weapon,3
3187,Burglary,15
620,Trespass,10
198,Weapon,14
970,Robbery,20
8,Liquor Law Violation,4
870,Robbery,18
19,Loitering,18
2,Disorderly Conduct,6
3490,Theft,23
500,Motor Vehicle Theft,5
377,Trespass,6
3,Prostitution,5
215,Prostitution,19
10365,Car Prowl,18
638,Trespass,11
5,Pornography,6
593,Trespass,9
211,Sex Offense,18
424,Family Offense,16
25,Family Offense,5
15,Disorderly Conduct,16
278,Family Offense,19
1073,Motor Vehicle Theft,10
152,Prostitution,16
4421,Theft,21
11,Homicide,22
6335,Theft,19
24,Arson,12
10,Liquor Law Violation,8
4,Homicide,10
9,Pornography,14
14,Disorderly Conduct,12
811,Trespass,13
1203,Narcotic,15
967,Robbery,21
1026,Motor Vehicle Theft,9
73,Liquor Law Violation,13
938,Robbery,19
5734,Theft,20
7694,Theft,18
7,Pornography,21
4,Pornography,23
161,Narcotic,3
482,Trespass,7
921,Robbery,23
336,Narcotic,2
1136,Narcotic,14
6,Disorderly Conduct,18
465,Family Offense,15
2975,Motor Vehicle Theft,20
311,Trespass,4
4,Homicide,5
423,Trespass,1
818,Robbery,15
117,Family Offense,7
264,Family Offense,8
606,Narcotic,19
884,Aggravated Assault,17
3,Disorderly Conduct,3
1360,Narcotic,21
4,Prostitution,8
893,Narcotic,23
3308,Motor Vehicle Theft,22
4,Liquor Law Violation,7
792,Robbery,2
74,Rape,12
556,Robbery,3
80,DUI,12
107,Prostitution,15
3,Pornography,20
150,Liquor Law Violation,21
6,Prostitution,7
692,Robbery,14
572,Aggravated Assault,11
3,Loitering,22
25,Homicide,0
1837,Theft,2
842,Motor Vehicle Theft,2
1181,Narcotic,20
560,Narcotic,18
570,Trespass,17
2555,Motor Vehicle Theft,23
138,Liquor Law Violation,0
1129,Theft,3
2665,Motor Vehicle Theft,19
76,Prostitution,12
404,Family Offense,0
87,Liquor Law Violation,14
254,Sex Offense,22
8189,Theft,14
10366,Car Prowl,22
4477,Burglary,12
1,Gamble,12
8805,Theft,15
533,Family Offense,12
249,Prostitution,0
14,Disorderly Conduct,15
6,Homicide,8
11,Homicide,16
103,Liquor Law Violation,1
221,Weapon,12
5,Disorderly Conduct,5
804,Motor Vehicle Theft,6
2245,Burglary,23
243,DUI,18
1,Gamble,21
509,DUI,20
1142,Aggravated Assault,21
35,Arson,15
1,Gamble,19
587,Trespass,0
279,Weapon,21
290,Aggravated Assault,7
63,Rape,18
5,Homicide,17
180,Weapon,19
71,Rape,20
69,Liquor Law Violation,17
297,Sex Offense,15
81,Arson,3
5219,Car Prowl,15
7,Disorderly Conduct,10
3,Loitering,8
113,Sex Offense,7
1564,Motor Vehicle Theft,16
73,Arson,2
2766,Car Prowl,7
268,Weapon,23
190,Sex Offense,8
2,Loitering,7
3147,Burglary,19
3909,Car Prowl,8
25,Arson,14
595,Trespass,8
2,Loitering,15
2859,Burglary,21
646,Trespass,16
1269,Aggravated Assault,1
174,Weapon,18
5320,Car Prowl,12
1458,Motor Vehicle Theft,12
6,Pornography,13
237,Weapon,20
429,Sex Offense,12
73,Rape,19
547,Prostitution,22
80,Rape,21
1,Gamble,18
338,Trespass,5
3,Gamble,20
8,Homicide,4
737,DUI,21
16,Homicide,1
349,DUI,19
8,Loitering,12
3,Disorderly Conduct,9
1,Loitering,0
7,Pornography,10
3229,Burglary,20
719,Aggravated Assault,14
4276,Burglary,18
1163,DUI,23
52,Liquor Law Violation,11
1,Pornography,1
2766,Motor Vehicle Theft,18
102,Rape,23
534,Sex Offense,0
209,Family Offense,22
8,Pornography,11
8601,Car Prowl,0
1316,Aggravated Assault,0
966,Narcotic,12
75,Liquor Law Violation,16
172,Narcotic,8
2273,Motor Vehicle Theft,17
951,Narcotic,16
1719,Burglary,1
428,Robbery,10
1578,Burglary,4
267,Family Offense,20
4,Disorderly Conduct,8
1147,Aggravated Assault,20
20,Arson,7
950,Robbery,22
742,Narcotic,0
5,Pornography,7
411,Prostitution,20
12,Homicide,20
51,Rape,17
8,Homicide,18
8,Pornography,15
207,DUI,17
297,Weapon,1
77,Weapon,4
1188,Aggravated Assault,22
13,Pornography,8
21,Arson,13
21,Homicide,23
238,Sex Offense,13
2023,Car Prowl,3
14,Pornography,12
1048,Aggravated Assault,19
772,Trespass,12
4160,Car Prowl,13
108,Sex Offense,3
1245,Aggravated Assault,23
2,Loitering,13
1079,Aggravated Assault,2
73,Liquor Law Violation,18
903,Motor Vehicle Theft,11
4299,Burglary,17
2,Gamble,17
101,Rape,1
55,Rape,4
3,Loitering,1
149,Narcotic,5
178,Sex Offense,10
19,Arson,9
69,Liquor Law Violation,12
22,Arson,11
3726,Car Prowl,10
5,Loitering,11
3,Loitering,10
3587,Car Prowl,11
10,Homicide,19
6,Disorderly Conduct,13
201,Weapon,17
10,Pornography,0
5208,Theft,10
198,Sex Offense,11
4138,Car Prowl,1
299,DUI,4
11,Homicide,21
1877,DUI,1
22,Arson,6
3769,Theft,22
193,Sex Offense,1
5930,Theft,11
4249,Burglary,0
204,Weapon,16
4309,Theft,9
66,Weapon,8
1102,Motor Vehicle Theft,7
135,Liquor Law Violation,22
533,Trespass,23
55,Arson,22
238,Robbery,7
1265,Theft,6
21,Arson,10
3240,Motor Vehicle Theft,21
5,Homicide,12
275,Aggravated Assault,6
471,Trespass,19
3,Loitering,20
590,Trespass,21
154,DUI,5
3938,Burglary,8
123,Liquor Law Violation,20
269,Weapon,0
3331,Burglary,16
554,Robbery,13
33,Rape,5
584,Narcotic,1
874,Aggravated Assault,16
222,Narcotic,4
250,Sex Offense,20
9303,Car Prowl,20
1,Gamble,0
170,DUI,16
50,DUI,8
1438,Burglary,5
284,Family Offense,10
7712,Theft,13
5,Pornography,22
311,Family Offense,11
90,Prostitution,13
36,Rape,16
729,Aggravated Assault,12
89,Family Offense,1
15,Prostitution,3
28,Rape,8
994,Motor Vehicle Theft,1
149,Liquor Law Violation,23
2479,Motor Vehicle Theft,0
474,Robbery,11
52,Prostitution,11
318,Robbery,9
358,Family Offense,13
49,Liquor Law Violation,2
57,Weapon,5
971,Aggravated Assault,18
110,Prostitution,1
1411,DUI,0
56,Family Offense,3
2099,Theft,7
1172,Motor Vehicle Theft,14
219,Rape,0
198,Robbery,6
20,Prostitution,10
553,Trespass,20
51,Liquor Law Violation,19
533,Trespass,18
735,Narcotic,17
591,Aggravated Assault,3
85,Rape,22
18,Liquor Law Violation,10
7,Disorderly Conduct,17
37,Rape,10
2096,Car Prowl,6
1231,Motor Vehicle Theft,8
6,Pornography,18
41,DUI,10
82,Sex Offense,6
931,DUI,22
7,Prostitution,9
2511,Theft,1
952,Theft,4
39,Prostitution,2
30,Arson,5
8,Liquor Law Violation,5
680,Narcotic,11
276,Family Offense,9
455,Motor Vehicle Theft,4
236,Narcotic,9
70,Family Offense,2
281,Sex Offense,14
4233,Car Prowl,14
848,Robbery,17
164,Narcotic,6
723,Trespass,14
1,Gamble,10
150,Prostitution,17
19,Arson,16
6,Prostitution,4
17,Arson,8
90,Weapon,10
8,Disorderly Conduct,11
293,Trespass,3
8331,Theft,17
307,Weapon,22
165,Narcotic,7
317,Trespass,2
79,Arson,0
252,Sex Offense,23
226,Sex Offense,21
9494,Car Prowl,21
8776,Car Prowl,23
6,Loitering,21
357,Family Offense,17
2882,Burglary,22
1014,Narcotic,13
960,Motor Vehicle Theft,13
10,Liquor Law Violation,9
725,Trespass,15
3299,Burglary,10
824,Robbery,1
842,Aggravated Assault,15
36,Family Offense,4
328,Robbery,4
2,Disorderly Conduct,7
13,Homicide,3
6,Prostitution,6
2,Pornography,19
2858,Burglary,11
5360,Theft,0
2888,Car Prowl,2
191,Sex Offense,9
23,Homicide,2
3771,Car Prowl,9
18,Rape,7
3383,Burglary,9
169,Sex Offense,2
5,Homicide,14
23,Disorderly Conduct,21
342,Family Offense,14
3,Loitering,9
54,DUI,7
316,Aggravated Assault,5
1634,Burglary,6
81,Weapon,9
85,Prostitution,14
3646,Theft,8
166,Weapon,11
8438,Theft,16
36,Rape,13
5,Homicide,15
248,Robbery,5
1,Gamble,9
509,Aggravated Assault,10
4,Pornography,16
18,Liquor Law Violation,3
61,Weapon,6
101,DUI,13
2,Gamble,11
61,Family Offense,6
35,Arson,17
246,Robbery,8
791,Robbery,16
252,Family Offense,21
164,Family Offense,23
431,Aggravated Assault,9
92,Liquor Law Violation,15
9,Loitering,17
869,Theft,5
8053,Car Prowl,17
14,Disorderly Conduct,1
1118,Narcotic,22
267,Sex Offense,17
64,Weapon,7
1570,Car Prowl,4
2762,Burglary,13
456,Narcotic,10
84,Sex Offense,4
49,DUI,9
78,DUI,11
839,Robbery,0
35,Rape,6
11,Disorderly Conduct,0
85,DUI,6
77,Arson,1
40,Arson,4
220,Weapon,13
396,Prostitution,23
523,Prostitution,21
38,Rape,9
2663,Burglary,7
43,Rape,11
12,Disorderly Conduct,14
